Unnamed: 0,Исследовательский проект,Прикладной проект,Фронтенд,Бэкенд,Мобильная разработка,Веб-разработка,Интернет вещей,Лингвистика,Линейная алгебра,Математический анализ,Биология,Психология,Здравоохранение,Компьютерная безопасность,Анализ данных,Искусственный интеллект,Машинное обучение,Тестирование,Обеспечение качества,Базы данных,Микросервисы,Разработка игр,Геоинформационные системы,Математическое моделирование,Алгоритмы,Структуры данных,Визуализация,Автоматизация,Блокчейн,Императивное программирование,Декларативное программирование,Объектно-ориентированное программирование,Процедурное программирование,Assembler,Android,IOS,Linux,Unity,PHP,SQL,Go,Ruby,Flutter,Javascript,React,Python,C++,Java,C#,C,Swift,Kotlin,HTML,CSS,Xamarin,Popularity
Исследовательский проект,0.0,0.0,2.0,3.0,2.0,2.0,4.0,8.0,8.0,8.0,8.0,8.0,6.0,3.0,7.0,7.0,8.0,3.0,1.0,4.0,2.0,2.0,7.0,9.0,9.0,9.0,7.0,4.0,4.0,5.0,6.0,3.0,6.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,7.0,8.0,5.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,7.0
Прикладной проект,0.0,0.0,8.0,8.0,8.0,8.0,7.0,6.0,4.0,4.0,5.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,5.0,7.0,6.0,7.0,8.0,9.0,9.0,7.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Фронтенд,2.0,8.0,0.0,3.0,8.0,8.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0,9.0,5.0,5.0,3.0,3.0,7.0,4.0,4.0,4.0,4.0,8.0,4.0,2.0,8.0,8.0,2.0,6.0,6.0,2.0,4.0,4.0,8.0,8.0,8.0,6.0,4.0,8.0,8.0,2.0,9.0,9.0,9.0,9.0,9.0,7.0
Бэкенд,3.0,8.0,3.0,0.0,2.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,9.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Мобильная разработка,2.0,8.0,8.0,2.0,0.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,7.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,8.0,3.0,2.0,9.0,9.0,2.0,7.0,7.0,3.0,5.0,5.0,9.0,5.0,9.0,5.0,5.0,6.0,6.0,2.0,9.0,9.0,6.0,6.0,9.0,8.0
Веб-разработка,2.0,8.0,8.0,3.0,3.0,0.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,6.0,5.0,4.0,4.0,4.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,2.0,6.0
Интернет вещей,4.0,7.0,5.0,5.0,7.0,7.0,0.0,2.0,2.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0
Лингвистика,8.0,6.0,4.0,7.0,5.0,4.0,2.0,0.0,9.0,9.0,1.0,6.0,5.0,1.0,9.0,9.0,9.0,2.0,1.0,6.0,4.0,5.0,2.0,6.0,9.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
Линейная алгебра,8.0,4.0,4.0,7.0,5.0,4.0,2.0,9.0,0.0,5.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,4.0,8.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,7.0
Математический анализ,8.0,4.0,4.0,7.0,5.0,4.0,2.0,9.0,5.0,0.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,3.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,7.0
Биология,8.0,5.0,4.0,7.0,5.0,4.0,4.0,1.0,8.0,8.0,0.0,6.0,8.0,3.0,8.0,8.0,8.0,3.0,3.0,3.0,3.0,5.0,1.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,8.0,6.0,6.0,7.0,2.0,2.0,2.0,2.0,2.0,6.0
Психология,8.0,6.0,5.0,7.0,5.0,4.0,4.0,6.0,7.0,6.0,6.0,0.0,8.0,2.0,8.0,9.0,9.0,3.0,3.0,3.0,3.0,7.0,3.0,7.0,7.0,6.0,7.0,7.0,3.0,6.0,3.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0
Здравоохранение,6.0,6.0,5.0,7.0,5.0,4.0,7.0,5.0,7.0,6.0,8.0,8.0,0.0,2.0,8.0,8.0,8.0,2.0,2.0,4.0,2.0,7.0,2.0,7.0,7.0,7.0,8.0,8.0,3.0,4.0,4.0,4.0,4.0,3.0,7.0,7.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,6.0,6.0,5.0,5.0,6.0,5.0
Компьютерная безопасность,3.0,8.0,4.0,7.0,5.0,6.0,4.0,1.0,8.0,8.0,3.0,2.0,2.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,4.0,6.0,6.0,8.0,8.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0
Анализ данных,7.0,8.0,5.0,7.0,5.0,5.0,4.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,0.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,9.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0
